client_id,age_group,visits_month,progress_score
CLI-13-01-0001,18-25,18,85.26
CLI-13-01-0002,36-45,22,76.55
CLI-13-01-0003,18-25,8,12.22
CLI-13-01-0004,46-60,16,52.49
CLI-13-01-0005,36-45,2,42.25
CLI-13-01-0006,36-45,15,42.05
CLI-13-01-0007,46-60,26,21.01
CLI-13-01-0008,36-45,18,28.89
CLI-13-01-0008,36-45,5,16.12
CLI-13-01-0010,46-60,29,17.76
CLI-13-01-0011,18-25,0,18.59
CLI-13-01-0012,36-45,29,55.96
CLI-13-01-0013,46-60,18,80.28
CLI-13-01-0014,18-25,8,20.41
CLI-13-01-0015,26-35,4,97.02
CLI-13-01-0016,18-25,26,37.39
CLI-13-01-0017,26-35,29,37.57
CLI-13-01-0018,46-60,7,96.99
CLI-13-01-0019,36-45,18,55.1
CLI-13-01-0020,46-60,4,80.23
CLI-13-01-0021,36-45,26,17.05
CLI-13-01-0022,18-25,25,25.11
CLI-13-01-0023,46-60,5,86.53
CLI-13-01-0024,36-45,0,11.94
CLI-13-01-0025,36-45,10,15.57
CLI-13-01-0026,18-25,30,38.21
CLI-13-01-0027,36-45,26,74.16
CLI-13-01-0028,26-35,22,1.42
CLI-13-01-0029,36-45,11,99.24
CLI-13-01-0030,18-25,9,18.17
CLI-13-01-0031,36-45,15,48.42
CLI-13-01-0032,18-25,28,-87.4
CLI-13-01-0033,46-60,10,7.98
CLI-13-01-0034,18-25,15,85.28
CLI-13-01-0035,18-25,9,56.56
CLI-13-01-0036,36-45,24,81.75
CLI-13-01-0037,36-45,11,95.99
CLI-13-01-0038,46-60,16,90.82
CLI-13-01-0039,26-35,14,94.58
CLI-13-01-0040,36-45,23,19.71
CLI-13-01-0041,36-45,9,37.34
CLI-13-01-0042,26-35,14,19.86
CLI-13-01-0043,26-35,22,8.86
CLI-13-01-0044,46-60,29,4.34
CLI-13-01-0045,36-45,2,71.29
CLI-13-01-0046,18-25,12,6.92
CLI-13-01-0047,26-35,11,97.49
CLI-13-01-0048,46-60,5,81.43
CLI-13-01-0049,26-35,23,64.06
CLI-13-01-0050,18-25,3,89.61
CLI-13-01-0051,46-60,4,15.44
CLI-13-01-0052,26-35,25,2.91
CLI-13-01-0053,26-35,15,13.8
CLI-13-01-0054,26-35,30,63.06
CLI-13-01-0055,46-60,2,29.76
CLI-13-01-0056,18-25,18,30.71
CLI-13-01-0057,26-35,1,36.44
CLI-13-01-0058,26-35,29,78.1
CLI-13-01-0059,36-45,28,80.28
CLI-13-01-0060,46-60,18,27.27
CLI-13-01-0061,46-60,5,75.28
CLI-13-01-0062,36-45,4,61.29
CLI-13-01-0063,26-35,22,51.77
CLI-13-01-0064,46-60,23,94.03
CLI-13-01-0065,26-35,5,30.77
CLI-13-01-0066,18-25,4,82.03
CLI-13-01-0067,18-25,6,65.05
CLI-13-01-0068,26-35,22,69.67
CLI-13-01-0069,26-35,14,24.71
CLI-13-01-0070,18-25,4,85.72
CLI-13-01-0071,36-45,29,30.69
CLI-13-01-0072,18-25,28,53.39
CLI-13-01-0073,46-60,9,10.2
CLI-13-01-0074,46-60,18,45.66
CLI-13-01-0075,18-25,6,97.9
CLI-13-01-0076,26-35,4,96.58
