client_id,age_group,visits_month,trainer_hours,progress_score,subscription_months,churn_flag,region,entry_mode,comment
CLI-13-02-0001,18-25,15,17.29,91.36,2,0,Москва,sensor,норма
CLI-13-02-0002,36-45,17,19.45,79.73,23,0,СЗФО,sensor,
CLI-13-02-0004,46-60,5,7.39,81.44,23,0,Москва,file,после корректировки
CLI-13-02-0009,26-35,17,23.3,81.38,5,0,Санкт-Петербург,file,норма
CLI-13-02-0010,46-60,28,4.74,74.64,27,1,Санкт-Петербург,file,контрольная запись
CLI-13-02-0012,46-60,26,15.83,90.38,33,1,Санкт-Петербург,manual,
CLI-13-02-0015,26-35,10,20.98,94.47,35,1,ЦФО,manual,норма
CLI-13-02-0016,26-35,24,3.08,97.23,10,0,ЦФО,file,после корректировки
CLI-13-02-0018,36-45,13,13.74,90.2,25,1,ЦФО,file,после корректировки
CLI-13-02-0019,18-25,30,17.32,95.45,29,0,региональный контур,manual,после корректировки
CLI-13-02-0023,26-35,23,19.62,76.34,23,0,Москва,api,требует проверки
CLI-13-02-0024,46-60,23,17.67,75.09,3,0,Москва,sensor,норма
CLI-13-02-0026,18-25,9,10.24,75.05,8,0,региональный контур,sensor,
CLI-13-02-0027,36-45,29,13.27,99.84,11,0,СЗФО,sensor,требует проверки
CLI-13-02-0029,46-60,25,19.93,93.29,12,0,ЦФО,file,
CLI-13-02-0031,26-35,24,1.93,86.89,23,0,региональный контур,sensor,
CLI-13-02-0030,18-25,17,14.55,82.31,21,0,региональный контур,file,контрольная запись
CLI-13-02-0035,18-25,29,19.75,75.73,11,1,Санкт-Петербург,file,контрольная запись
CLI-13-02-0037,36-45,22,18.38,86.09,20,0,Санкт-Петербург,manual,
CLI-13-02-0038,18-25,29,16.7,98.86,11,1,региональный контур,sensor,после корректировки
CLI-13-02-0041,36-45,6,22.7,91.02,6,0,региональный контур,api,
