client_id,age_group,visits_month,trainer_hours,progress_score,subscription_months,churn_flag,region,operator_id
CLI-13-01-0001,18-25 ,18,18.83,85.26,10,0,Санкт-Петербург,op_12
CLI-13-01-0002,36-45,22,22.96,76.55,19,0,ЦФО,op_02
CLI-13-01-0003,18-25,8,7.4,12.22,21,0,ЦФО,op_03
CLI-13-01-0004,46-60,16,23.87,52.49,11,1,Москва,op_04
CLI-13-01-0005,36-45,2,5.84,42.25,9,1,ЦФО,op_08
CLI-13-01-0006,36-45,15,15.45,42.05,27,0,Санкт-Петербург,op_05
CLI-13-01-0007,46-60,26,22.32,21.01,10,0,региональный контур,op_10
CLI-13-01-0008,36-45,18,17.84,28.89,34,0,Санкт-Петербург,op_04
CLI-13-01-0008,36-45,5,9.93,16.12,32,0,региональный контур,op_06
CLI-13-01-0010,46-60,29,1.95,17.76,31,0,Москва,op_10
CLI-13-01-0011,18-25,0,5.63,18.59,30,0,региональный контур,op_07
CLI-13-01-0012,36-45,29,0.99,55.96,19,0,ЦФО,op_08
CLI-13-01-0013,46-60,18,12.4,80.28,14,0,СЗФО,op_06
CLI-13-01-0014,18-25,8,18.15,20.41,26,0,ЦФО,op_09
CLI-13-01-0015,26-35,4,9.15,97.02,19,0,ЦФО,op_12
CLI-13-01-0016,18-25,26,23.9,37.39,4,0,СЗФО,op_11
CLI-13-01-0017,26-35,29,1.32,37.57,30,0,региональный контур,op_02
CLI-13-01-0018,46-60,7,19.03,96.99,11,0,региональный контур,op_04
CLI-13-01-0019,36-45,18,1.66,55.1,22,0,Москва,op_11
CLI-13-01-0020,46-60,4,22.25,80.23,35,0,Москва,op_08
CLI-13-01-0021,36-45,26,4.89,17.05,8,0,региональный контур,op_04
CLI-13-01-0022,18-25,25,0.69,25.11,18,1,Санкт-Петербург,op_12
CLI-13-01-0023,46-60,5,2.53,86.53,26,1,ЦФО,op_01
CLI-13-01-0024,36-45,0,22.34,11.94,18,0,региональный контур,op_12
CLI-13-01-0025,36-45,10,5.89,15.57,8,0,Москва,op_06
CLI-13-01-0026,18-25,30,15.96,38.21,9,0,Москва,op_01
CLI-13-01-0027,36-45,26,8.21,74.16,17,0,региональный контур,op_04
CLI-13-01-0028,26-35,22,1.58,1.42,6,1,региональный контур,op_04
CLI-13-01-0029,36-45,11,12.59,99.24,9,0,ЦФО,op_02
CLI-13-01-0030,18-25,9,2.0,18.17,35,0,Санкт-Петербург,op_03
CLI-13-01-0031,36-45,15,12.89,48.42,11,0,региональный контур,op_11
CLI-13-01-0032,18-25,28,21.04,-87.4,6,0,ЦФО,op_07
CLI-13-01-0033,46-60,10,15.72,7.98,29,0,Москва,op_10
CLI-13-01-0034,18-25,15,6.66,85.28,17,0,Москва,op_03
CLI-13-01-0035,18-25,9,5.19,56.56,35,0,региональный контур,op_03
CLI-13-01-0036,36-45,24,14.02,81.75,30,0,региональный контур,op_08
CLI-13-01-0037,36-45,11,18.29,95.99,15,0,Москва,op_07
CLI-13-01-0038,46-60,16,18.12,90.82,33,0,Санкт-Петербург,op_09
CLI-13-01-0039,26-35,14,7.47,94.58,22,1,ЦФО,op_05
CLI-13-01-0040,36-45,23,21.71,19.71,23,0,региональный контур,op_01
CLI-13-01-0041,36-45,9,5.48,37.34,8,0,региональный контур,op_11
CLI-13-01-0042,26-35,14,21.57,19.86,20,1,Санкт-Петербург,op_07
CLI-13-01-0043,26-35,22,1.29,8.86,16,0,СЗФО,op_03
CLI-13-01-0044,46-60,29,23.19,4.34,34,0,СЗФО,op_01
CLI-13-01-0045,36-45,2,5.87,71.29,10,1,Москва,op_03
CLI-13-01-0046,18-25,12,14.15,6.92,23,0,СЗФО,op_05
CLI-13-01-0047,26-35,11,13.97,97.49,11,0,Санкт-Петербург,op_05
CLI-13-01-0048,46-60,5,12.6,81.43,13,1,СЗФО,op_09
CLI-13-01-0049,26-35,23,3.89,64.06,4,1,Москва,op_10
CLI-13-01-0050,18-25,3,12.62,89.61,12,0,СЗФО,op_06
CLI-13-01-0051,46-60,4,12.06,15.44,,0,Санкт-Петербург,op_07
