client_id,age_group,visits_month,trainer_hours,progress_score,subscription_months,churn_flag,region,entry_mode,comment
CLI-13-02-0001,18-25,15,17.29,91.36,2,0,Москва,sensor,норма
CLI-13-02-0002,36-45,17,19.45,79.73,23,0,СЗФО,sensor,
CLI-13-02-0003,18-25,11,15.25,10.44,19,1,региональный контур,api,контрольная запись
CLI-13-02-0004,46-60,5,7.39,81.44,23,0,  Москва  ,file,после корректировки
CLI-13-02-0005,26-35,25,19.9,50.78,11,0,региональный контур,file,
CLI-13-02-0006,36-45,19,22.29,36.89,12,1,региональный контур,api,контрольная запись
CLI-13-02-0007,36-45,17,0.43,20.66,30,0,региональный контур,manual,после корректировки
CLI-13-02-0008,46-60,10,15.65,9.42,1119.0,0,Санкт-Петербург,api,после корректировки
CLI-13-02-0009,26-35,17,23.3,81.38,5,0,Санкт-Петербург,file,норма
CLI-13-02-0010,46-60,28,4.74,74.64,27,1,Санкт-Петербург,file,контрольная запись
CLI-13-02-0011,36-45,29,10.06,46.01,14,1,региональный контур,manual,требует проверки
CLI-13-02-0012,46-60,26,15.83,90.38,33,1,Санкт-Петербург,manual,
CLI-13-02-0013,36-45,21,8.79,40.84,23,1,ЦФО,sensor,после корректировки
CLI-13-02-0014,46-60,7,-4.16,1.47,1299.0,0,ЦФО,api,контрольная запись
CLI-13-02-0015,26-35,10,20.98,94.47,35,1,ЦФО,manual,норма
CLI-13-02-0016,26-35,24,3.08,97.23,10,0,ЦФО,file,после корректировки
CLI-13-02-0017,26-35,12,7.58,17.43,3,0,Москва,sensor,норма
CLI-13-02-0018,36-45,13,13.74,90.2,25,1,ЦФО,file,после корректировки
CLI-13-02-0019,18-25,30,17.32,95.45,29,0,региональный контур,manual,после корректировки
CLI-13-02-0020,18-25,11,20.67,72.37,1,0,ЦФО,manual,
CLI-13-02-0021,18-25,26,14.63,36.18,34,0,Санкт-Петербург,api,
CLI-13-02-0022,26-35,22,13.49,14.28,7,0,Москва,api,
CLI-13-02-0023,26-35,23,19.62,76.34,23,0,Москва,api,требует проверки
CLI-13-02-0024,46-60,23,17.67,75.09,3,0,Москва,sensor,норма
CLI-13-02-0025,46-60,3,23.17,63.62,12,0,Москва,file,контрольная запись
CLI-13-02-0026,18-25,9,10.24,75.05,8,0,региональный контур,sensor,
CLI-13-02-0027,36-45,29,13.27,99.84,11,0,СЗФО,sensor,требует проверки
CLI-13-02-0028,18-25,22,3.9,73.16,35,1,Москва,file,требует проверки
CLI-13-02-0029,46-60,25,19.93,93.29,12,0,ЦФО,file,
CLI-13-02-0030,18-25,0,20.02,47.26,34,0,Москва,api,требует проверки
CLI-13-02-0031,26-35,24,1.93,86.89,23,0,региональный контур,sensor,
CLI-13-02-0032,18-25,27,6.71,15.76,19,0,ЦФО,sensor,норма
CLI-13-02-0030,18-25,17,14.55,82.31,21,0,региональный контур,file,контрольная запись
CLI-13-02-0034,46-60,26,11.72,37.44,35,0,Санкт-Петербург,manual,после корректировки
CLI-13-02-0035,18-25,29,19.75,75.73,11,1,Санкт-Петербург,file,контрольная запись
CLI-13-02-0036,26-35,24,11.54,2.0,17,0,региональный контур,sensor,требует проверки
CLI-13-02-0037,36-45,22,18.38,86.09,20,0,Санкт-Петербург,manual,
CLI-13-02-0038,18-25,29,16.7,98.86,11,1,региональный контур,sensor,после корректировки
CLI-13-02-0039,26-35,6,20.15,4.68,24,0,СЗФО,manual,контрольная запись
CLI-13-02-0040,46-60,13,4.74,50.58,19,0,Москва,sensor,норма
CLI-13-02-0041,36-45,6,22.7,91.02,6,0,региональный контур,api,
CLI-13-02-0042,46-60,29 ед.,15.29,14.83,21,0,региональный контур,manual,
CLI-13-02-0043,46-60,21,14.51,17.14,24,0,Санкт-Петербург,file,норма
