client_id,age_group,visits_month,trainer_hours,progress_score,subscription_months,churn_flag,validation_status,error_comment,region
CLI-13-03-0001,26-35,26,1.36,91.58,29,0,error,,Санкт-Петербург
CLI-13-03-0002,18-25,13,22.4,43.77,3,0,error,проверить тип,региональный контур
CLI-13-03-0003,36-45,6,6.16,67.99,30,0,unchecked,логическое расхождение,СЗФО
CLI-13-03-0004,46-60,23,8.98,10.0,15,1,error,логическое расхождение,СЗФО
CLI-13-03-0005,36-45,8,14.78,2.44,24,0,unchecked,проверить тип,ЦФО
CLI-13-03-0006,46-60,13,8.58,83.4,22,0,ok,,СЗФО
CLI-13-03-0007,36-45,11,12.16,66.25,5,1,error,нет значения,СЗФО
CLI-13-03-0008,26-35,24,3.02,85.32,32,1,warning,логическое расхождение,ЦФО
CLI-13-03-0009,18-25,12,5.0,94.51,34,0,unchecked,нет значения,региональный контур
CLI-13-03-0010,46-60,13,18.44,5.05,32,0,warning,нет значения,региональный контур
CLI-13-03-0011,46-60,3,7.55,80.97,9,1,error,,ЦФО
CLI-13-03-0012,18-25,5,7.87,39.6,24,0,warning,нет значения,ЦФО
CLI-13-03-0013,46-60,0,7.3,36.38,19,1,ok,проверить тип,Санкт-Петербург
CLI-13-03-0014,18-25,10,18.33,16.83,13,1,ok,нет значения,СЗФО
CLI-13-03-0015,46-60,9,1.04,79.51,26,0,ok,проверить тип,Санкт-Петербург
CLI-13-03-0016,36-45,23,7.35,16.41,4,0,warning,,ЦФО
CLI-13-03-0017,46-60,23,6.16,60.46,13,1,ok,нет значения,Санкт-Петербург
CLI-13-03-0018,46-60,23,4.7,12.43,,0,warning,,СЗФО
CLI-13-03-0018,18-25,21,6.51,20.48,23,0,ok,логическое расхождение,СЗФО
CLI-13-03-0020,46-60,12,19.56,63.33,26,0,warning,,Москва
CLI-13-03-0021,26-35,25,23.86,72.76,31,0,warning,нет значения,ЦФО
CLI-13-03-0022,36-45,17,6.3,35.34,28,0,ok,нет значения,Санкт-Петербург
CLI-13-03-0023,26-35,20,10.24,93.0,21,0,ok,логическое расхождение,Санкт-Петербург
CLI-13-03-0024,46-60,8,10.55,50.55,34,1,warning,,ЦФО
CLI-13-03-0025,46-60,16,19.09,20.05,17,0,error,логическое расхождение,ЦФО
CLI-13-03-0026,18-25,21,13.41,35.97,17,0,warning,логическое расхождение,Санкт-Петербург
CLI-13-03-0027,36-45,4,4.77,5.96,13,0,unchecked,нет значения,СЗФО
CLI-13-03-0028,26-35,7,11.97,44.33,8,1,unchecked,,Москва
CLI-13-03-0029,18-25,1,15.48,74.56,18,0,unchecked,нет значения,Москва
CLI-13-03-0030,18-25,15,21.56 ед.,83.73,1229.0,1,unchecked,,Москва
CLI-13-03-0031,46-60,28,2.13,15.98,14,0,error,проверить тип,Санкт-Петербург
CLI-13-03-0032,26-35,8,10.86,42.33,26,0,unchecked,логическое расхождение,Санкт-Петербург
CLI-13-03-0033,26-35,18,13.66,8.92,22,1,error,проверить тип,Москва
CLI-13-03-0034,46-60,22,10.14,60.53,8,0,ok,нет значения,региональный контур
CLI-13-03-0035,26-35,28,18.92,нет данных,5,0,ok,проверить тип,региональный контур
CLI-13-03-0036,36-45,24,19.1,78.89,8,0,ok,логическое расхождение,региональный контур
CLI-13-03-0037,26-35,2,13.09,68.47,11,0,unchecked,логическое расхождение,региональный контур
CLI-13-03-0038,26-35,14,22.09,8.4,32,0,warning,    ,СЗФО
CLI-13-03-0039,18-25,24,3.39,54.43,4,0,unchecked,проверить тип,Москва
CLI-13-03-0040,26-35,3,10.44,12.22,35,0,unchecked,нет значения,Санкт-Петербург
CLI-13-03-0041,46-60,29,15.23,22.04,18,1,warning,нет значения,ЦФО
CLI-13-03-0042,36-45,17,20.91,55.14,22,1,ok,логическое расхождение,ЦФО
CLI-13-03-0043,36-45,18,23.01,20.76,26,0,warning,логическое расхождение,ЦФО
CLI-13-03-0044,26-35,11,19.95,17.42,12,1,ok,проверить тип,ЦФО
CLI-13-03-0045,26-35,19,3.5,71.27,28,0,error,логическое расхождение,ЦФО
CLI-13-03-0046,36-45,30,15.62,60.13,35,0,error,нет значения,Москва
CLI-13-03-0047,46-60,2,14.81,4.97,13,0,warning,,Санкт-Петербург
CLI-13-03-0048,36-45,4,13.35,95.25,23,0,error,проверить тип,Санкт-Петербург
CLI-13-03-0049,36-45,3,3.11,88.67,35,0,unchecked,проверить тип,ЦФО
CLI-13-03-0050,18-25,17,4.25,64.02,1,1,ok,логическое расхождение,ЦФО
CLI-13-03-0051,36-45,29,-13.06,4.45,23,1,error,логическое расхождение,Москва
CLI-13-03-0052,26-35,23,10.32,74.65,20,0,error,,СЗФО
CLI-13-03-0053,26-35 ,9,9.39,36.17,17,1,error,,ЦФО
CLI-13-03-0054,46-60,24,15.76,99.76,27,1,error,нет значения,Москва
CLI-13-03-0055,18-25,20,17.01,,14,0,ok,логическое расхождение,ЦФО
CLI-13-03-0056,18-25,0,7.46,89.15,2,0,warning,логическое расхождение,Санкт-Петербург
CLI-13-03-0057,46-60,4,19.09,53.97,21,1,unchecked,нет значения,Москва
