client_id,age_group,visits_month,trainer_hours,progress_score,subscription_months,churn_flag,report_group,quarter
CLI-13-04-0001,26-35,28,7.93,60.61,26,0,контрольная,Q2
CLI-13-04-0002,36-45,28,6.45,70.58,16,0,пилотная,Q3
CLI-13-04-0003,46-60,4,8.78,24.79,21,0,пилотная,Q4
CLI-13-04-0004,18-25,29,11.83,70.52,27,0,основная,Q4
CLI-13-04-0005,26-35,22 ед.,1.63,89.37,17,0,основная,Q3
CLI-13-04-0006,26-35,10,5.72,52.24,8,0,основная,Q2
CLI-13-04-0007,46-60,4,14.39,85.76,32,0,основная,Q1
CLI-13-04-0008,26-35,6,16.77,58.27,29,0,контрольная,Q1
CLI-13-04-0009,26-35,14,7.29,13.71,1,0,пилотная,Q2
CLI-13-04-0010,36-45,11,4.26,98.92,15,1,пилотная,Q4
CLI-13-04-0011,46-60,5,1.47,55.46,2,0,пилотная,Q1
CLI-13-04-0012,18-25,9,16.14,16.36,4,0,основная,Q3
CLI-13-04-0013,18-25,3,2.07,76.98,17,0,контрольная,Q1
CLI-13-04-0014,46-60,9,21.12,33.83,3,0,пилотная,Q2
CLI-13-04-0015,36-45,27,14.42,66.21,35,0,контрольная,Q3
CLI-13-04-0016,18-25 ,29,12.11,61.77,23,0,контрольная,Q1
CLI-13-04-0017,36-45,3,23.81,85.25,9,0,контрольная,Q4
CLI-13-04-0018,26-35,5,18.16,20.22,1,0,контрольная,Q3
CLI-13-04-0019,36-45,9,1033.3,40.2,2,0,пилотная,Q3
CLI-13-04-0020,36-45,13,0.27,76.94,15,1,основная,Q4
CLI-13-04-0021,36-45,5,12.67,29.51,18,0,контрольная,Q4
CLI-13-04-0022,36-45,16,1.68,82.62,1,0,контрольная,Q3
CLI-13-04-0023,26-35,6,22.34,15.39,3,0,основная,Q1
CLI-13-04-0024,26-35,18,10.48,34.29,27,0,пилотная,Q4
CLI-13-04-0025,26-35,23,4.83,20.44,17,0,контрольная,Q4
CLI-13-04-0026,36-45,25,0.31,14.88,3,0,основная,Q4
CLI-13-04-0027,36-45,22,6.94,80.04,6,0,основная,Q1
CLI-13-04-0028,26-35,11,11.5,18.26,10,1,основная,Q3
CLI-13-04-0029,26-35,13,2.61,1.68,22,0,пилотная,Q1
CLI-13-04-0030,18-25,17,4.66,19.41,20,0,пилотная,Q1
CLI-13-04-0031,46-60,2,13.32,54.23,25,1,пилотная,Q4
CLI-13-04-0032,46-60,22,9.85,12.67,23,0,пилотная,Q3
CLI-13-04-0033,36-45,20,2.98,42.76,15,0,пилотная,Q3
CLI-13-04-0034,26-35,18,17.68,4.55,25,0,основная,Q3
CLI-13-04-0035,46-60,27,3.05,17.11,13,0,основная,Q4
CLI-13-04-0036,46-60,4,3.96,95.31,3,1,основная,Q1
CLI-13-04-0037,36-45,15,3.23,15.12,17,0,пилотная,Q1
CLI-13-04-0038,36-45,23,20.37,58.16,н/д,0,пилотная,Q3
CLI-13-04-0039,46-60,25,6.73,81.64,4,0,пилотная,Q1
CLI-13-04-0040,36-45,13,17.62,8.24,26,1,пилотная,Q1
CLI-13-04-0041,26-35,13,0.16,4.48,21,0,основная,Q3
CLI-13-04-0042,36-45,10,22.4,98.53,11,0,пилотная,Q2
CLI-13-04-0043,18-25,,20.12,90.8,6,0,контрольная,Q1
CLI-13-04-0044,46-60,15,14.02,53.87,17,0,пилотная,Q1
CLI-13-04-0045,46-60,13,22.43,11.86,22,0,контрольная,Q4
CLI-13-04-0046,46-60,20,22.41,90.35,4,1,пилотная,Q3
CLI-13-04-0047,26-35,23,5.86,88.9,27,0,пилотная,Q3
CLI-13-04-0048,26-35,26,7.9,,36,0,пилотная,Q3
CLI-13-04-0049,36-45,14,7.35,51.3,5,0,пилотная,Q3
CLI-13-04-0050,36-45,29,5.38,22.8,32,0,контрольная,Q4
CLI-13-04-0051,36-45,19,0.06,15.37,17,0,пилотная,Q4
CLI-13-04-0052,26-35,7,3.25,46.6,31,0,пилотная,Q3
CLI-13-04-0053,36-45,17,14.82,76.96,26,0,основная,Q1
CLI-13-04-0054,18-25,8,6.13,11.06,34,0,основная,Q3
CLI-13-04-0055,26-35,29,5.06,33.01,32,1,пилотная,Q4
CLI-13-04-0056,26-35,15,4.82,68.35,17,0,основная,Q4
CLI-13-04-0057,  36-45  ,5,6.12,20.58,13,0,пилотная,Q4
CLI-13-04-0058,26-35,9,3.43,56.9,13,0,основная,Q4
CLI-13-04-0059,18-25,26,22.59,82.79,16,0,контрольная,Q1
CLI-13-04-0060,18-25,6,5.53,86.64,9,0,контрольная,Q2
CLI-13-04-0061,18-25,10,3.6,79.7,13,0,контрольная,Q4
CLI-13-04-0062,36-45,29,7.36,94.3,20,0,пилотная,Q2
CLI-13-04-0063,18-25,18,3.37,94.04,16,1,основная,Q3
