client_id,age_group,visits_month,trainer_hours,progress_score,subscription_months,churn_flag,normalization_group,comment
CLI-13-05-0001,36-45,28,21.09,78.58,15,1,N2,
CLI-13-05-0002,26-35,20,8.49,42.8,,1,N1,требует проверки
CLI-13-05-0003,18-25,6,7.11,93.46,17,1,N3,
CLI-13-05-0004,46-60,23,21.37,19.54,30,0,N1,контрольная запись
CLI-13-05-0005,26-35,20,23.38,39.62,12,1,N3,после корректировки
CLI-13-05-0006,26-35,18,8.77,43.49,34,0,N3,норма
CLI-13-05-0007,46-60,17,16.3,71.57,12,1,N3,норма
CLI-13-05-0008,18-25,21,15.45,49.02,4,1,N3,
CLI-13-05-0009,26-35,27,21.65,22.8,7,0,N1,контрольная запись
CLI-13-05-0010,36-45,13,5.84,19.59,20,0,N3,норма
CLI-13-05-0011,36-45,11,2.97,60.12,28,0,N2,после корректировки
CLI-13-05-0012,36-45,7,12.83,34.12,24,1,N3,норма
CLI-13-05-0013,36-45,20,2.75,12.66,23,0,N1,после корректировки
CLI-13-05-0014,18-25,14,9.82,62.46,8,0,N3,норма
CLI-13-05-0015,46-60,12,20.08,92.4,19,0,N3,контрольная запись
CLI-13-05-0016,46-60,5,20.62,2.7,10,0,N1,контрольная запись
CLI-13-05-0017,18-25,15,20.47,42.55,31,0,N3,после корректировки
CLI-13-05-0018,36-45,4,4.97,56.0,10,0,N1,требует проверки
CLI-13-05-0019,18-25,1,18.31,28.6,13,0,N1,требует проверки
CLI-13-05-0020,18-25,16,21.89,66.71,19,0,N3,норма
CLI-13-05-0021,18-25,1,20.53,94.24,26,0,N2,после корректировки
CLI-13-05-0022,18-25,22,9.78,92.78,26,0,N2,требует проверки
CLI-13-05-0023,26-35,24,13.89,1.73,1,0,N2,
CLI-13-05-0024,36-45,0,9.61,88.33,24,1,N3,требует проверки
CLI-13-05-0025,26-35,17,3.68,7.43,34,0,N2,  после корректировки  
CLI-13-05-0026,18-25,13,14.16,13.1,34,0,N2,
CLI-13-05-0027,46-60,19,16.61,89.82,28,0,N1,после корректировки
CLI-13-05-0028,46-60,17,9.99,9.68,11,0,N2,контрольная запись
CLI-13-05-0029,46-60,29,23.96,24.53,2,0,N2,норма
CLI-13-05-0030,26-35,8,15.55,81.92,20,0,N2,после корректировки
CLI-13-05-0031,26-35,16,21.46,44.76,22,1,N3,норма
CLI-13-05-0032,18-25,8,6.04,63.53,36,0,N2,контрольная запись
CLI-13-05-0033,26-35,24,15.91,45.44,34,0,N1,требует проверки
CLI-13-05-0034,46-60,27,18.22,15.93,10,0,N3,контрольная запись
CLI-13-05-0035,26-35,24,7.07,13.9,36,0,N3,
CLI-13-05-0036,46-60,27,7.62,61.31,29,0,N1,требует проверки
CLI-13-05-0037,26-35,6,1.78,72.35,12,0,N3,контрольная запись
CLI-13-05-0038,36-45,19,15.2,81.16,14,0,N2,
CLI-13-05-0039,46-60,15,2.61,28.76,32,0,N2,
CLI-13-05-0040,36-45,21,6.31,19.73,19,0,N1,
CLI-13-05-0041,18-25,3,12.33,78.37,7,1,N3,после корректировки
CLI-13-05-0042,26-35,26,21.36,71.28,3,0,N2,
CLI-13-05-0043,26-35,16,16.48,58.92,31,0,N2,контрольная запись
CLI-13-05-0044,18-25,28,17.03,56.52,16,0,N3,контрольная запись
CLI-13-05-0045,36-45,11,17.78,62.32,8,1,N2,после корректировки
CLI-13-05-0046,26-35,28,19.78,92.41,19,0,N1,
CLI-13-05-0047,18-25,22,1.23,71.45,36,0,N1,контрольная запись
CLI-13-05-0048,36-45,11,7.75,57.3,8,0,N3,после корректировки
CLI-13-05-0049,26-35,21,6.63,27.75,3,1,N3,требует проверки
CLI-13-05-0050,36-45,20,15.5,5.11,26,1,N2,требует проверки
CLI-13-05-0051,26-35,15,8.51,55.08,12,0,N3,требует проверки
CLI-13-05-0052,36-45,22,14.3,81.76,30,0,N2,контрольная запись
CLI-13-05-0053,46-60,8,0.66,58.54,4,0,N2,контрольная запись
CLI-13-05-0054,18-25,14,0.24,82.85,23,0,N3,норма
CLI-13-05-0055,36-45,6,13.07,63.41,-19,0,N1,контрольная запись
CLI-13-05-0056,36-45,15,6.77,40.91,9,0,N3,
CLI-13-05-0057,18-25,1,1.85,92.23,34,0,N2,
CLI-13-05-0058,46-60,30,5.15,8.74,6,0,N2,
CLI-13-05-0059,26-35,29,19.48,13.73,12,1,N1,
CLI-13-05-0060,18-25,14,15.48,46.63,9,1,N1,контрольная запись
CLI-13-05-0061,46-60,29,17.01,19.99,15,0,N2,после корректировки
CLI-13-05-0062,26-35,13,7.97,92.94,11,1,N3,норма
